EpochTime,Latitude,Longitude,Altitude,Satellite,PDOP,Speed,Heading,AccX,AccY,AccZ,RotX,RotY,RotZ,Pitch,Roll,Temp,Session,Step,CRC,Count,t,dt,gps_distance,speed_gps,speed_error,speed_flag
2026-04-02 17:31:56.800,48.2476387,16.37302399,165.595993,9,2.49000001,0.019,2.66662002,-48,-116,7884,-7,41,-94,1.47951472,-1.13772297,-4848,7,3,11603,43583,1775151116.8,0.5,0.0,0.0,0.019,False
2026-04-02 17:31:57.300,48.2476387,16.37302399,165.5879974,9,2.49000001,0.061,2.66662002,30,-36,7860,3,41,-101,1.51494169,-1.0974369,-4624,7,3,49886,43584,1775151117.3,0.5,0.0,0.0,0.061,False
2026-04-02 17:31:57.800,48.2476387,16.37302399,165.5879974,9,2.49000001,0.013,3.64677,-238,-88,7846,-256,39,-84,1.5710845,-1.40090907,-5120,7,3,47400,43521,1775151117.8,0.5,0.0,0.0,0.013,False
2026-04-02 17:31:58.300,48.24764252,16.37302399,165.6439972,9,2.49000001,0.051,3.64677,16,-64,7828,-14,47,-101,1.60167694,-1.33464432,-4880,7,3,11998,43522,1775151118.3,0.5,0.4247646194246446,0.8495292388492892,-0.7985292388492892,False
2026-04-02 17:31:58.800,48.24764252,16.37302399,165.6069946,9,2.49000001,0.037,73.15000153,24,-130,7904,2,44,-109,1.54905403,-1.24713445,-4848,7,3,56469,43523,1775151118.8,0.5,0.0,0.0,0.037,False
2026-04-02 17:31:59.300,48.24764252,16.37302399,165.6269989,9,2.49000001,0.119,29.27001953,48,-98,7956,-15,39,-100,1.62367356,-1.19657302,-4864,7,3,49561,43524,1775151119.3,0.5,0.0,0.0,0.119,False
2026-04-02 17:31:59.800,48.24764252,16.37302399,165.598999,9,2.49000001,0.138,101.3619385,-14,-166,7824,-8,42,-110,1.63874519,-1.13240933,-4864,7,3,57320,43525,1775151119.8,0.5,0.0,0.0,0.138,False
2026-04-02 17:32:00.300,48.24764252,16.37302399,165.5269928,9,2.49000001,0.026,101.3619385,-76,-54,7920,-10,59,-120,1.63756144,-0.90189832,-4832,7,3,26666,43526,1775151120.3,0.5,0.0,0.0,0.026,False
2026-04-02 17:32:00.800,48.24764252,16.37302399,165.473999,9,2.49000001,0.095,101.3619385,-28,-70,7930,-10,26,-98,1.59535754,-0.92311466,-4848,7,3,48976,43527,1775151120.8,0.5,0.0,0.0,0.095,False
2026-04-02 17:32:01.300,48.24764252,16.37302399,165.3549957,9,2.49000001,0.04,101.3619385,42,-110,7938,-6,49,-100,1.58281088,-1.08035243,-4624,7,3,60616,43528,1775151121.3,0.5,0.0,0.0,0.04,False
2026-04-02 17:32:01.800,48.24764252,16.37302399,165.2949982,9,2.49000001,0.025,101.3619385,-8,-74,7912,0,35,-100,1.55903828,-1.23723042,-4848,7,3,60036,43529,1775151121.8,0.5,0.0,0.0,0.025,False
